"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"switchdataD_080519ec","080519ec","Data Label","switchD_080519e6","Analysis","3","0"
"caseD_0","08051a0c","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_1","08051a54","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_2","08051a74","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_3","08051aac","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_4","08051ae4","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_5","08051b14","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_6","08051b54","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_7","08051b64","Instruction Label","switchD_080519e6","Analysis","2","0"
"caseD_8","08051b82","Instruction Label","switchD_080519e6","Analysis","5","0"
"FUN_08051cdc","08051cdc","Function","Global","Default","0","1"
"FUN_08051dbc","08051dbc","Function","Global","Default","0","1"
"switchD","08051dd4","Instruction Label","switchD_08051dd4","Analysis","0","0"
"switchdataD_08051ddc","08051ddc","Data Label","switchD_08051dd4","Analysis","3","0"
"caseD_0","08051df4","Instruction Label","switchD_08051dd4","Analysis","2","0"
"caseD_1","08051e5c","Instruction Label","switchD_08051dd4","Analysis","2","0"
"caseD_2","08051ea4","Instruction Label","switchD_08051dd4","Analysis","2","0"
"caseD_3","08051eea","Instruction Label","switchD_08051dd4","Analysis","2","0"
"caseD_4","08051f0c","Instruction Label","switchD_08051dd4","Analysis","2","0"
"caseD_5","08051f16","Instruction Label","switchD_08051dd4","Analysis","2","0"
"caseD_6","08051f3e","Instruction Label","switchD_08051dd4","Analysis","3","0"
"FUN_08051f44","08051f44","Function","Global","Default","0","1"
"FUN_080520b8","080520b8","Function","Global","Default","0","1"
"FUN_08052240","08052240","Function","Global","Default","0","1"
"switchD","08052258","Instruction Label","switchD_08052258","Analysis","0","0"
"switchdataD_08052260","08052260","Data Label","switchD_08052258","Analysis","3","0"
"caseD_0","08052278","Instruction Label","switchD_08052258","Analysis","2","0"
"caseD_1","0805229e","Instruction Label","switchD_08052258","Analysis","2","0"
"caseD_2","080522c8","Instruction Label","switchD_08052258","Analysis","2","0"
"caseD_3","08052312","Instruction Label","switchD_08052258","Analysis","2","0"
"caseD_4","08052332","Instruction Label","switchD_08052258","Analysis","2","0"
"caseD_5","0805238e","Instruction Label","switchD_08052258","Analysis","2","0"
"caseD_6","080523aa","Instruction Label","switchD_08052258","Analysis","5","0"
"FUN_080523b8","080523b8","Function","Global","Default","0","1"
"FUN_080525b0","080525b0","Function","Global","Default","0","0"
"FUN_0805260c","0805260c","Function","Global","Default","0","1"
"FUN_08052744","08052744","Function","Global","Default","1","1"
"FUN_080527e4","080527e4","Function","Global","Default","1","1"
"FUN_080527fc","080527fc","Function","Global","Default","0","1"
"FUN_08052b4c","08052b4c","Function","Global","Default","0","1"
"FUN_08052b9c","08052b9c","Function","Global","Default","0","1"
"switchD","08052bae","Instruction Label","switchD_08052bae","Analysis","0","0"
"switchdataD_08052bb4","08052bb4","Data Label","switchD_08052bae","Analysis","3","0"
"caseD_0","08052bcc","Instruction Label","switchD_08052bae","Analysis","2","0"
"caseD_2","08052be0","Instruction Label","switchD_08052bae","Analysis","2","0"
"caseD_3","08052bf2","Instruction Label","switchD_08052bae","Analysis","2","0"
"caseD_1","08052c00","Instruction Label","switchD_08052bae","Analysis","3","0"
"caseD_4","08052c00","Instruction Label","switchD_08052bae","Analysis","0","0"
"caseD_5","08052c1c","Instruction Label","switchD_08052bae","Analysis","2","0"
"caseD_6","08052c2a","Instruction Label","switchD_08052bae","Analysis","5","0"
"FUN_08052c34","08052c34","Function","Global","Default","0","1"
"FUN_08052c7c","08052c7c","Function","Global","Default","0","1"
"FUN_08052f0c","08052f0c","Function","Global","Default","0","1"
"switchD","08052f20","Instruction Label","switchD_08052f20","Analysis","0","0"
"switchdataD_08052f28","08052f28","Data Label","switchD_08052f20","Analysis","3","0"
"caseD_0","08052f58","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_1","08052fcc","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_2","08052fec","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_3","08053010","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_4","08053068","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_5","08053114","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_6","08053130","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_7","0805319a","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_8","08053308","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_9","0805334e","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_a","08053374","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_b","08053398","Instruction Label","switchD_08052f20","Analysis","2","0"
"caseD_c","080533ae","Instruction Label","switchD_08052f20","Analysis","8","0"
"FUN_080533c0","080533c0","Function","Global","Default","0","1"
"FUN_08053464","08053464","Function","Global","Default","0","1"
"switchD","08053478","Instruction Label","switchD_08053478","Analysis","0","0"
"switchdataD_08053480","08053480","Data Label","switchD_08053478","Analysis","3","0"
"caseD_0","080534a4","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_1","080534e4","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_2","08053500","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_3","08053564","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_4","080535b8","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_5","08053600","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_6","08053634","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_7","080536f0","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_8","08053714","Instruction Label","switchD_08053478","Analysis","2","0"
"caseD_9","0805371c","Instruction Label","switchD_08053478","Analysis","6","0"
"FUN_08053728","08053728","Function","Global","Default","0","1"
"switchD","0805373c","Instruction Label","switchD_0805373c","Analysis","0","0"
"switchdataD_08053744","08053744","Data Label","switchD_0805373c","Analysis","3","0"
"caseD_0","0805379c","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_1","080537c8","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_2","080537d6","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_3","08053832","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_4","08053878","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_13","08053886","Instruction Label","switchD_0805373c","Analysis","0","0"
"caseD_11","08053886","Instruction Label","switchD_0805373c","Analysis","0","0"
"caseD_b","08053886","Instruction Label","switchD_0805373c","Analysis","0","0"
"caseD_f","08053886","Instruction Label","switchD_0805373c","Analysis","0","0"
"caseD_5","08053886","Instruction Label","switchD_0805373c","Analysis","6","0"
"caseD_6","080538a0","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_7","080538c6","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_8","08053940","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_9","0805394e","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_a","08053968","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_c","0805398c","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_d","0805399e","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_e","080539c0","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_10","080539c8","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_12","080539dc","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_14","080539e4","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_15","080539f8","Instruction Label","switchD_0805373c","Analysis","2","0"
"caseD_16","08053a00","Instruction Label","switchD_0805373c","Analysis","12","0"
"FUN_08053a0c","08053a0c","Function","Global","Default","0","1"
"switchD","08053a20","Instruction Label","switchD_08053a20","Analysis","0","0"
"switchdataD_08053a28","08053a28","Data Label","switchD_08053a20","Analysis","3","0"
"caseD_0","08053a64","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_1","08053a9a","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_2","08053aa8","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_3","08053b02","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_4","08053b48","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_5","08053b56","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_6","08053b70","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_7","08053b98","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_8","08053c24","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_9","08053c5c","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_a","08053c84","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_b","08053c9c","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_c","08053cae","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_d","08053ccc","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_e","08053cde","Instruction Label","switchD_08053a20","Analysis","2","0"
"caseD_f","08053cfc","Instruction Label","switchD_08053a20","Analysis","12","0"
"FUN_08053d0c","08053d0c","Function","Global","Default","0","1"
"switchD","08053d22","Instruction Label","switchD_08053d22","Analysis","0","0"
"switchdataD_08053d28","08053d28","Data Label","switchD_08053d22","Analysis","3","0"
"caseD_0","08053d98","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_2","08053e08","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_3","08053e32","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_4","08053e88","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_6","08053ef8","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_7","08053f60","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_8","080540cc","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_a","08054114","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_c","08054128","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_d","08054132","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_e","0805414e","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_f","08054170","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_10","080541a0","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_14","080541e0","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_15","080541f2","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_16","08054210","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_12","08054254","Instruction Label","switchD_08053d22","Analysis","3","0"
"caseD_18","08054254","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_17","0805426c","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_19","0805426c","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_11","0805426c","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_b","0805426c","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_13","0805426c","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_1","0805426c","Instruction Label","switchD_08053d22","Analysis","9","0"
"caseD_9","0805426c","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_5","0805426c","Instruction Label","switchD_08053d22","Analysis","0","0"
"caseD_1a","0805428c","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_1b","0805429e","Instruction Label","switchD_08053d22","Analysis","2","0"
"caseD_1c","080542bc","Instruction Label","switchD_08053d22","Analysis","11","0"
"FUN_080542cc","080542cc","Function","Global","Default","0","1"
"FUN_08054340","08054340","Function","Global","Default","0","1"
"FUN_080544c0","080544c0","Function","Global","Default","1","0"
"FUN_08054530","08054530","Function","Global","Default","0","0"
"FUN_080545cc","080545cc","Function","Global","Default","2","0"
"FUN_08054674","08054674","Function","Global","Default","4","0"
"FUN_08054688","08054688","Function","Global","Default","2","0"
"FUN_08054750","08054750","Function","Global","Default","1","0"
"FUN_08054a40","08054a40","Function","Global","Default","1","1"
"FUN_08054ac0","08054ac0","Function","Global","Default","1","1"
"FUN_08054adc","08054adc","Function","Global","Default","0","1"
"FUN_08054b20","08054b20","Function","Global","Default","0","1"
"FUN_08054b98","08054b98","Function","Global","Default","0","1"
"switchD","08054baa","Instruction Label","switchD_08054baa","Analysis","0","0"
"switchdataD_08054bb0","08054bb0","Data Label","switchD_08054baa","Analysis","3","0"
"caseD_0","08054bc8","Instruction Label","switchD_08054baa","Analysis","2","0"
"caseD_1","08054be0","Instruction Label","switchD_08054baa","Analysis","2","0"
